left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7
0.477043,0.637781,-0.321266,-0.879136,0.437698,0.11228,-0.109973
0.478344,0.637428,-0.320761,-0.879401,0.437617,0.110806,-0.109015
0.479631,0.63704,-0.320402,-0.879505,0.437608,0.10894,-0.10798
0.0,0.0,0.0,-0.1,0.0,0.0,0.0
0.482552,0.636095,-0.318298,-0.880649,0.436154,0.106158,-0.107119
0.482772,0.635932,-0.318276,-0.880538,0.436081,0.105434,-0.106974
0.483552,0.635742,-0.318174,-0.880485,0.436352,0.103668,-0.106648
0.483806,0.635632,-0.318087,-0.880454,0.436499,0.10304,-0.106573
0.484354,0.635322,-0.317877,-0.880351,0.436801,0.101566,-0.106433
0.484529,0.635186,-0.317833,-0.880291,0.436816,0.101,-0.106381
0.484846,0.634797,-0.317824,-0.880059,0.436504,0.09953,-0.106188
0.485038,0.634605,-0.317885,-0.879955,0.436253,0.098675,-0.106076
0.485107,0.634265,-0.317967,-0.879707,0.435785,0.09783,-0.106128
0.485169,0.634111,-0.31806,-0.879536,0.435485,0.097413,-0.106415
0.485192,0.633912,-0.318261,-0.879223,0.434939,0.097034,-0.107182
0.485138,0.633789,-0.318341,-0.879078,0.434672,0.096933,-0.107466
0.484895,0.633345,-0.318545,-0.878768,0.43394,0.096646,-0.107834
0.484738,0.633111,-0.318624,-0.878647,0.43361,0.09655,-0.107883
0.484263,0.632464,-0.31884,-0.878338,0.432707,0.096367,-0.107936
0.484062,0.632203,-0.318939,-0.878207,0.43232,0.096314,-0.107976
0.483517,0.631493,-0.31922,-0.877832,0.431263,0.096222,-0.108131
0.483161,0.631059,-0.319407,-0.877603,0.430587,0.096205,-0.108229
0.482666,0.63056,-0.319664,-0.877328,0.429675,0.09624,-0.108357
0.482284,0.630283,-0.319869,-0.87715,0.428977,0.096316,-0.108491
0.481616,0.629933,-0.320227,-0.876891,0.427786,0.096524,-0.108733
0.481407,0.629874,-0.320377,-0.876856,0.427399,0.096614,-0.10876
0.480523,0.629397,-0.320658,-0.876631,0.426216,0.097047,-0.108494
0.480213,0.629272,-0.320782,-0.876646,0.425835,0.097276,-0.108246
0.479409,0.628928,-0.321024,-0.876631,0.424909,0.097777,-0.107543
0.479183,0.628844,-0.321092,-0.876637,0.424624,0.09785,-0.107292
0.478965,0.628821,-0.321185,-0.876685,0.424177,0.097603,-0.106745
